QuickSort,RadixSort,HeapSort
0.001,0.025,0.001
0.02,0.088,0.027
0.038,0.164,0.057
0.059,0.265,0.087
0.077,0.387,0.121
0.104,0.436,0.312
0.121,0.529,0.217
0.154,0.729,0.227
0.185,0.715,0.27
0.207,0.787,0.298
0.222,0.875,0.336
0.246,0.962,0.378
0.288,1.05,0.417
0.297,1.133,0.449
0.322,1.22,0.485
0.341,1.318,0.526
0.379,1.443,0.577
0.417,1.483,0.613
0.431,1.595,0.654
0.484,1.708,0.689
0.488,1.797,0.738
0.505,1.804,0.775
0.546,1.931,0.879
0.592,2.033,0.852
0.595,2.106,0.896
0.684,2.36,0.973
1.032,2.648,1.282
0.919,2.962,1.255
0.727,3.132,1.405
1.098,3.299,1.472
1.069,3.14,1.524
1.049,3.637,1.605
1.146,3.866,1.682
1.145,3.682,1.765
1.363,3.895,1.801
1.139,3.406,1.57
1.162,3.534,1.677
1.265,3.596,1.487
1.393,4.076,1.825
1.299,3.658,1.734
1.319,3.542,1.878
1.444,4.02,1.845
1.38,4.069,2.016
1.443,4.12,2.033
1.516,3.887,1.828
1.512,3.88,2.262
1.368,4.293,2.311
1.58,4.475,2.213
1.56,4.626,2.249
1.335,4.683,2.074
