10,56 0,0017266 0,007000000000000001
10,56 0,0025658 0,007700000000000001
10,56 0,0030007000000000002 0,009
10,56 0,0026483 0,008899999999999998
10,69 0,0035234000000000008 0,010599999999999998
10,69 0,0031744 0,013699999999999999
10,700000000000001 0,0036616999999999995 0,018899999999999997
10,819999999999999 0,8030981 0,026000000000000002
11,0 0,0045068999999999994 0,03579999999999999
11,120000000000001 0,0061363 0,04809999999999999
11,269999999999998 0,0069661 0,06439999999999999
11,739999999999998 0,0098482 0,0828
12,06 0,015317699999999998 0,10669999999999999
12,340000000000002 0,022736700000000002 0,151
12,809999999999999 0,042018700000000006 0,2142
13,3 0,11174440000000001 0,33290000000000003
13,879999999999999 0,23893870000000006 0,48660000000000003
16,575 2,9021829 3,2242000000000006
17,724999999999998 1,7098721000000001 2,0879
